geoid,tract_pop_city,poverty_rate,pov_quintile,race_group,excluded_reason
17031310600,5498,0.11351246105919004,Q2,hispanic,
17031310700,1700,0.17196132596685082,Q4,hispanic,
17031310800,4175,0.19981369352585002,Q4,hispanic,
17031310900,4781,0.25877712031558187,Q5,hispanic,
17031320101,9532,0.035982171975214694,Q1,nh_white,
17031320102,4846,0.10294946458763855,Q2,nh_white,
17031320400,2856,0.20876826722338204,Q4,nh_white,
17031320600,6395,0.120446735395189,Q3,nh_white,
17031330101,4592,0.05988142292490119,Q1,nh_white,
17031330102,10811,0.009441462929835023,Q1,no_majority,
17031330103,8248,0.1377245508982036,Q3,no_majority,
17031330200,4008,0.08820614469772052,Q2,no_majority,
17031340300,1865,0.13363792118789264,Q3,no_majority,
17031340400,1844,0.2690715552927262,Q5,no_majority,
17031340500,1629,0.3341599504029758,Q5,no_majority,
17031340600,1151,0.5514655760054533,Q5,nh_black,
17031350100,2228,0.24707716289945442,Q4,no_majority,
17031350400,1512,0.5312693498452012,Q5,nh_black,
17031351000,3640,0.18386346004654772,Q4,nh_black,
17031351100,2038,0.5255813953488372,Q5,nh_black,
17031351400,1392,0.29293544457978077,Q5,nh_black,
17031351500,823,0.314410480349345,Q5,nh_black,
17031360200,1651,0.4619914346895075,Q5,nh_black,
17031380100,2207,0.18459915611814345,Q4,nh_black,
17031380200,2408,0.449944382647386,Q5,nh_black,
17031380600,3947,0.32010021198689537,Q5,nh_black,
17031381200,2077,0.20445736434108527,Q4,nh_black,
17031381400,1796,0.309958750736594,Q5,nh_black,
17031381500,667,0.41911764705882354,Q5,nh_black,
17031381700,18,,,,low_city_pop
17031381800,1462,0.14660390047074648,Q3,nh_black,
17031381900,1106,0.19627618308766487,Q4,nh_black,
17031390100,1553,0.11383039271485487,Q2,nh_black,
17031390200,1883,0.09565217391304348,Q2,nh_black,
17031390300,2617,0.4211864406779661,Q5,nh_black,
17031390400,2871,0.4248927038626609,Q5,nh_black,
17031390500,1666,0.1707028942705257,Q4,nh_black,
17031390600,1994,0.2520503007107709,Q4,no_majority,
17031390700,6532,0.1875,Q4,nh_black,
17031400300,1504,0.16653696498054474,Q3,nh_black,
17031400400,1995,0.35125448028673834,Q5,nh_black,
17031400500,2372,0.43523316062176165,Q5,nh_black,
17031400800,3178,0.7145390070921985,Q5,nh_black,
17031410100,2272,0.1500912408759124,Q3,nh_black,
17031410200,1165,0.22805429864253393,Q4,no_majority,
17031410500,2922,0.29129222187790516,Q5,no_majority,
17031410600,2371,0.34284377923292797,Q5,no_majority,
17031410700,2399,0.28478841021730844,Q5,no_majority,
17031410800,2993,0.17262773722627736,Q4,no_majority,
17031410900,3670,0.15225666122892875,Q3,no_majority,
17031411000,3902,0.2452636968766001,Q4,no_majority,
17031411100,2379,0.09226037929267042,Q2,nh_white,
17031411200,1713,0.16515973477998794,Q3,nh_white,
17031420100,1642,0.3953341740226986,Q5,nh_black,
17031420200,1781,0.4130938586326767,Q5,nh_black,
17031420300,2818,0.336812804453723,Q5,no_majority,
17031420400,1544,0.32520891364902504,Q5,nh_black,
17031420500,2053,0.5284794452699356,Q5,nh_black,
17031420600,2524,0.3675675675675676,Q5,nh_black,
17031420700,3021,0.4248836225137537,Q5,nh_black,
17031420800,2457,0.15428571428571428,Q3,nh_black,
17031421200,1405,0.12332439678284182,Q3,nh_black,
17031430101,4091,0.2909803921568627,Q5,nh_black,
17031430102,3104,0.27493765586034913,Q5,nh_black,
17031430200,5086,0.3092041253162094,Q5,nh_black,
17031430300,2558,0.21356196414653156,Q4,nh_black,
17031430400,3031,0.25695858791581805,Q4,nh_black,
17031430500,4098,0.30335365853658536,Q5,nh_black,
17031430600,1670,0.23884381338742394,Q4,nh_black,
17031430700,2175,0.2585624698504583,Q4,nh_black,
17031430800,1862,0.17796610169491525,Q4,nh_black,
17031430900,1797,0.29449838187702265,Q5,nh_black,
17031431200,2898,0.09217123023524874,Q2,nh_black,
17031431301,3590,0.3287523578550256,Q5,nh_black,
17031431302,4351,0.5627808617499339,Q5,nh_black,
17031431400,6716,0.4009669621273167,Q5,nh_black,
17031440101,4171,0.36,Q5,nh_black,
17031440102,3633,0.34358658874192555,Q5,nh_black,
17031440201,5054,0.3232428670842032,Q5,nh_black,
