ward2023,period,ward2015,share_of_rpt_n
17,YTD2021-08,6,0.0412
17,YTD2021-08,16,0.0090
17,YTD2021-08,18,0.0090
17,YTD2022-08,17,0.5219
17,YTD2022-08,21,0.3673
17,YTD2022-08,6,0.0786
17,YTD2022-08,18,0.0219
17,YTD2022-08,16,0.0103
17,YTD2023-08,17,0.5534
17,YTD2023-08,21,0.3068
17,YTD2023-08,6,0.0904
17,YTD2023-08,18,0.0384
17,YTD2023-08,16,0.0110
18,CY2019,18,0.9308
18,CY2019,21,0.0692
18,CY2019-2025,18,0.9448
18,CY2019-2025,21,0.0552
18,CY2019-2025,17,0.0001
18,CY2020,18,0.9739
18,CY2020,21,0.0254
18,CY2020,17,0.0007
18,CY2020-2022,18,0.9491
18,CY2020-2022,21,0.0507
18,CY2020-2022,17,0.0002
18,CY2021,18,0.9327
18,CY2021,21,0.0673
18,CY2022,18,0.9409
18,CY2022,21,0.0591
18,CY2023,18,0.9456
18,CY2023,21,0.0544
18,CY2023-2025,18,0.9466
18,CY2023-2025,21,0.0534
18,YTD2019-08,18,0.9175
18,YTD2019-08,21,0.0825
18,YTD2020-08,18,0.9714
18,YTD2020-08,21,0.0277
18,YTD2020-08,17,0.0009
18,YTD2021-08,18,0.9242
18,YTD2021-08,21,0.0758
18,YTD2022-08,18,0.9466
18,YTD2022-08,21,0.0534
18,YTD2023-08,18,0.9604
18,YTD2023-08,21,0.0396
19,CY2019,19,0.9598
19,CY2019,34,0.0381
19,CY2019,21,0.0021
19,CY2019-2025,19,0.9606
19,CY2019-2025,34,0.0351
19,CY2019-2025,21,0.0043
19,CY2020,19,0.9557
19,CY2020,34,0.0432
19,CY2020,21,0.0011
19,CY2020-2022,19,0.9622
19,CY2020-2022,34,0.0359
19,CY2020-2022,21,0.0019
19,CY2021,19,0.9719
19,CY2021,34,0.0262
19,CY2021,21,0.0019
19,CY2022,19,0.9597
19,CY2022,34,0.0379
19,CY2022,21,0.0023
19,CY2023,19,0.9685
19,CY2023,34,0.0280
19,CY2023,21,0.0035
19,CY2023-2025,19,0.9591
19,CY2023-2025,34,0.0312
19,CY2023-2025,21,0.0097
19,YTD2019-08,19,0.9637
19,YTD2019-08,34,0.0338
19,YTD2019-08,21,0.0025
19,YTD2020-08,19,0.9580
19,YTD2020-08,34,0.0408
19,YTD2020-08,21,0.0012
19,YTD2021-08,19,0.9730
19,YTD2021-08,34,0.0244
19,YTD2021-08,21,0.0026
19,YTD2022-08,19,0.9605
19,YTD2022-08,34,0.0370
19,YTD2022-08,21,0.0025
19,YTD2023-08,19,0.9684
19,YTD2023-08,34,0.0274
19,YTD2023-08,21,0.0041
20,CY2019,20,0.7044
20,CY2019,3,0.1586
20,CY2019,5,0.0798
20,CY2019,4,0.0542
20,CY2019,16,0.0030
20,CY2019-2025,20,0.6972
20,CY2019-2025,3,0.2050
20,CY2019-2025,5,0.0545
20,CY2019-2025,4,0.0405
20,CY2019-2025,16,0.0028
20,CY2020,20,0.6943
20,CY2020,3,0.2024
20,CY2020,5,0.0506
20,CY2020,4,0.0445
20,CY2020,16,0.0081
20,CY2020-2022,20,0.6886
20,CY2020-2022,3,0.2213
20,CY2020-2022,5,0.0464
20,CY2020-2022,4,0.0410
20,CY2020-2022,16,0.0027
20,CY2021,20,0.6673
20,CY2021,3,0.2505
20,CY2021,5,0.0401
20,CY2021,4,0.0401
20,CY2021,16,0.0020
20,CY2022,20,0.6977
20,CY2022,3,0.2151
20,CY2022,5,0.0477
20,CY2022,4,0.0395
20,CY2023,20,0.6685
20,CY2023,3,0.2556
20,CY2023,5,0.0492
20,CY2023,4,0.0211
20,CY2023,16,0.0056
20,CY2023-2025,20,0.7019
20,CY2023-2025,3,0.2142
20,CY2023-2025,5,0.0488
20,CY2023-2025,4,0.0323
20,CY2023-2025,16,0.0027
20,YTD2019-08,20,0.6908
20,YTD2019-08,3,0.1767
20,YTD2019-08,5,0.0750
20,YTD2019-08,4,0.0535
20,YTD2019-08,16,0.0040
20,YTD2020-08,20,0.7098
20,YTD2020-08,3,0.1839
20,YTD2020-08,5,0.0492
20,YTD2020-08,4,0.0466
20,YTD2020-08,16,0.0104
20,YTD2021-08,20,0.6780
20,YTD2021-08,3,0.2277
20,YTD2021-08,4,0.0471
20,YTD2021-08,5,0.0445
20,YTD2021-08,16,0.0026
20,YTD2022-08,20,0.6900
20,YTD2022-08,3,0.2190
20,YTD2022-08,5,0.0515
20,YTD2022-08,4,0.0396
20,YTD2023-08,20,0.6475
20,YTD2023-08,3,0.2792
20,YTD2023-08,5,0.0419
20,YTD2023-08,4,0.0262
20,YTD2023-08,16,0.0052
21,CY2019,34,0.6486
21,CY2019,21,0.3514
21,CY2019-2025,34,0.6601
21,CY2019-2025,21,0.3399
21,CY2020,34,0.7646
21,CY2020,21,0.2354
21,CY2020-2022,34,0.6604
21,CY2020-2022,21,0.3396
21,CY2021,34,0.6151
21,CY2021,21,0.3849
21,CY2022,34,0.6402
21,CY2022,21,0.3598
21,CY2023,34,0.7209
21,CY2023,21,0.2791
21,CY2023-2025,34,0.6725
21,CY2023-2025,21,0.3275
21,YTD2019-08,34,0.6481
21,YTD2019-08,21,0.3519
21,YTD2020-08,34,0.7636
21,YTD2020-08,21,0.2364
21,YTD2021-08,34,0.5914
21,YTD2021-08,21,0.4086
21,YTD2022-08,34,0.6451
21,YTD2022-08,21,0.3549
21,YTD2023-08,34,0.7226
21,YTD2023-08,21,0.2774
22,CY2019,22,0.9639
22,CY2019,24,0.0189
22,CY2019,14,0.0139
22,CY2019,12,0.0033
22,CY2019-2025,22,0.9592
22,CY2019-2025,24,0.0204
22,CY2019-2025,14,0.0149
22,CY2019-2025,12,0.0055
22,CY2020,22,0.9312
22,CY2020,14,0.0417
22,CY2020,24,0.0236
22,CY2020,12,0.0036
22,CY2020-2022,22,0.9534
22,CY2020-2022,14,0.0222
22,CY2020-2022,24,0.0180
22,CY2020-2022,12,0.0063
22,CY2021,22,0.9444
22,CY2021,24,0.0257
22,CY2021,14,0.0190
22,CY2021,12,0.0108
22,CY2022,22,0.9707
22,CY2022,14,0.0146
22,CY2022,24,0.0101
22,CY2022,12,0.0046
22,CY2023,22,0.9770
22,CY2023,12,0.0129
22,CY2023,24,0.0057
22,CY2023,14,0.0043
22,CY2023-2025,22,0.9626
22,CY2023-2025,24,0.0254
22,CY2023-2025,12,0.0066
22,CY2023-2025,14,0.0054
22,YTD2019-08,22,0.9612
22,YTD2019-08,24,0.0184
22,YTD2019-08,14,0.0170
22,YTD2019-08,12,0.0034
22,YTD2020-08,22,0.9310
22,YTD2020-08,14,0.0345
22,YTD2020-08,24,0.0296
22,YTD2020-08,12,0.0049
22,YTD2021-08,22,0.9442
22,YTD2021-08,24,0.0287
22,YTD2021-08,14,0.0144
22,YTD2021-08,12,0.0128
22,YTD2022-08,22,0.9653
22,YTD2022-08,14,0.0185
22,YTD2022-08,24,0.0127
22,YTD2022-08,12,0.0035
22,YTD2023-08,22,0.9736
22,YTD2023-08,12,0.0158
22,YTD2023-08,14,0.0053
22,YTD2023-08,24,0.0053
23,CY2019,23,0.4771
23,CY2019,13,0.3731
23,CY2019,14,0.1117
23,CY2019,22,0.0380
23,CY2019-2025,23,0.5265
23,CY2019-2025,13,0.3266
23,CY2019-2025,14,0.1250
23,CY2019-2025,22,0.0217
23,CY2019-2025,18,0.0003
23,CY2020,23,0.4490
23,CY2020,13,0.4115
23,CY2020,14,0.1302
23,CY2020,22,0.0083
23,CY2020,18,0.0010
23,CY2020-2022,23,0.5055
23,CY2020-2022,13,0.3538
23,CY2020-2022,14,0.1254
23,CY2020-2022,22,0.0150
23,CY2020-2022,18,0.0004
23,CY2021,23,0.4676
23,CY2021,13,0.3827
23,CY2021,14,0.1281
23,CY2021,22,0.0216
23,CY2022,23,0.5800
23,CY2022,13,0.2840
23,CY2022,14,0.1193
23,CY2022,22,0.0167
23,CY2023,23,0.5900
23,CY2023,13,0.2507
23,CY2023,14,0.1454
23,CY2023,22,0.0139
23,CY2023-2025,23,0.5882
23,CY2023-2025,13,0.2594
23,CY2023-2025,14,0.1343
23,CY2023-2025,22,0.0176
23,CY2023-2025,18,0.0004
23,YTD2019-08,23,0.4767
23,YTD2019-08,13,0.3692
23,YTD2019-08,14,0.1220
23,YTD2019-08,22,0.0320
23,YTD2020-08,23,0.5062
23,YTD2020-08,13,0.3384
23,YTD2020-08,14,0.1429
23,YTD2020-08,22,0.0111
23,YTD2020-08,18,0.0014
23,YTD2021-08,23,0.4429
23,YTD2021-08,13,0.3796
23,YTD2021-08,14,0.1490
23,YTD2021-08,22,0.0286
23,YTD2022-08,23,0.5835
23,YTD2022-08,13,0.2727
23,YTD2022-08,14,0.1247
23,YTD2022-08,22,0.0190
23,YTD2023-08,23,0.6102
23,YTD2023-08,13,0.2275
23,YTD2023-08,14,0.1499
23,YTD2023-08,22,0.0123
24,CY2019,24,0.9260
24,CY2019,12,0.0681
24,CY2019,29,0.0060
24,CY2019-2025,24,0.9212
24,CY2019-2025,12,0.0689
24,CY2019-2025,29,0.0099
24,CY2020,24,0.9330
24,CY2020,12,0.0651
24,CY2020,29,0.0019
24,CY2020-2022,24,0.9197
24,CY2020-2022,12,0.0723
24,CY2020-2022,29,0.0080
24,CY2021,24,0.9443
24,CY2021,12,0.0518
24,CY2021,29,0.0038
24,CY2022,24,0.8914
24,CY2022,12,0.0929
24,CY2022,29,0.0157
24,CY2023,24,0.9187
24,CY2023,12,0.0665
24,CY2023,29,0.0148
24,CY2023-2025,24,0.9186
24,CY2023-2025,12,0.0658
24,CY2023-2025,29,0.0156
24,YTD2019-08,24,0.9239
24,YTD2019-08,12,0.0704
24,YTD2019-08,29,0.0056
24,YTD2020-08,24,0.9409
24,YTD2020-08,12,0.0591
24,YTD2021-08,24,0.9558
24,YTD2021-08,12,0.0387
24,YTD2021-08,29,0.0055
24,YTD2022-08,24,0.8791
24,YTD2022-08,12,0.1026
24,YTD2022-08,29,0.0182
24,YTD2023-08,24,0.9353
24,YTD2023-08,12,0.0462
24,YTD2023-08,29,0.0185
25,CY2019,25,0.5776
25,CY2019,12,0.1807
25,CY2019,11,0.1772
25,CY2019,24,0.0645
25,CY2019-2025,25,0.5874
25,CY2019-2025,12,0.2039
25,CY2019-2025,11,0.1526
25,CY2019-2025,24,0.0560
25,CY2020,25,0.5943
25,CY2020,12,0.2047
25,CY2020,11,0.1221
25,CY2020,24,0.0790
25,CY2020-2022,25,0.6153
25,CY2020-2022,12,0.2069
25,CY2020-2022,11,0.1197
25,CY2020-2022,24,0.0581
25,CY2021,25,0.6931
25,CY2021,12,0.1842
25,CY2021,11,0.0808
25,CY2021,24,0.0420
25,CY2022,25,0.5821
25,CY2022,12,0.2208
25,CY2022,11,0.1405
25,CY2022,24,0.0566
25,CY2023,25,0.5209
25,CY2023,12,0.2454
25,CY2023,11,0.1736
25,CY2023,24,0.0601
25,CY2023-2025,25,0.5598
25,CY2023-2025,12,0.2237
25,CY2023-2025,11,0.1719
25,CY2023-2025,24,0.0446
25,YTD2019-08,25,0.5837
25,YTD2019-08,12,0.1933
25,YTD2019-08,11,0.1636
25,YTD2019-08,24,0.0594
25,YTD2020-08,25,0.6182
25,YTD2020-08,12,0.1659
25,YTD2020-08,11,0.1341
25,YTD2020-08,24,0.0818
25,YTD2021-08,25,0.6935
25,YTD2021-08,12,0.1902
25,YTD2021-08,11,0.0850
25,YTD2021-08,24,0.0313
25,YTD2022-08,25,0.5910
25,YTD2022-08,12,0.2090
25,YTD2022-08,11,0.1427
25,YTD2022-08,24,0.0573
25,YTD2023-08,25,0.5277
25,YTD2023-08,12,0.2312
25,YTD2023-08,11,0.1779
25,YTD2023-08,24,0.0632
26,CY2019,26,0.5013
26,CY2019,1,0.2219
26,CY2019,36,0.2029
26,CY2019,35,0.0740
26,CY2019-2025,26,0.4897
26,CY2019-2025,36,0.2221
26,CY2019-2025,1,0.2111
26,CY2019-2025,35,0.0772
26,CY2020,26,0.5187
26,CY2020,1,0.2240
26,CY2020,36,0.1827
26,CY2020,35,0.0747
26,CY2020-2022,26,0.5427
26,CY2020-2022,1,0.2214
26,CY2020-2022,36,0.1839
26,CY2020-2022,35,0.0521
26,CY2021,26,0.5694
26,CY2021,1,0.2093
26,CY2021,36,0.1569
26,CY2021,35,0.0644
26,CY2022,26,0.5416
26,CY2022,1,0.2265
26,CY2022,36,0.1991
26,CY2022,35,0.0328
26,CY2023,26,0.4208
26,CY2023,36,0.2913
26,CY2023,1,0.1789
26,CY2023,35,0.1090
26,CY2023-2025,26,0.4250
26,CY2023-2025,36,0.2778
26,CY2023-2025,1,0.1913
26,CY2023-2025,35,0.1059
26,YTD2019-08,26,0.5070
26,YTD2019-08,1,0.2360
26,YTD2019-08,36,0.1902
26,YTD2019-08,35,0.0668
26,YTD2020-08,26,0.5000
26,YTD2020-08,1,0.2382
26,YTD2020-08,36,0.1792
26,YTD2020-08,35,0.0825
26,YTD2021-08,26,0.5615
26,YTD2021-08,1,0.2026
26,YTD2021-08,36,0.1615
26,YTD2021-08,35,0.0744
26,YTD2022-08,26,0.5313
26,YTD2022-08,1,0.2319
26,YTD2022-08,36,0.2012
26,YTD2022-08,35,0.0356
26,YTD2023-08,26,0.4143
26,YTD2023-08,36,0.2967
26,YTD2023-08,1,0.1676
26,YTD2023-08,35,0.1214
27,CY2019,27,0.9557
27,CY2019,1,0.0303
27,CY2019,26,0.0077
27,CY2019,2,0.0030
27,CY2019,28,0.0017
27,CY2019,25,0.0013
27,CY2019,42,0.0003
27,CY2019-2025,27,0.9636
27,CY2019-2025,1,0.0206
27,CY2019-2025,2,0.0070
27,CY2019-2025,26,0.0047
27,CY2019-2025,28,0.0020
27,CY2019-2025,25,0.0019
27,CY2019-2025,42,0.0003
27,CY2020,27,0.9786
27,CY2020,1,0.0107
27,CY2020,2,0.0059
27,CY2020,26,0.0036
27,CY2020,25,0.0012
27,CY2020-2022,27,0.9734
27,CY2020-2022,1,0.0100
27,CY2020-2022,2,0.0088
27,CY2020-2022,26,0.0032
27,CY2020-2022,25,0.0023
27,CY2020-2022,28,0.0020
27,CY2020-2022,42,0.0003
27,CY2021,27,0.9788
27,CY2021,1,0.0074
27,CY2021,25,0.0064
27,CY2021,28,0.0032
27,CY2021,26,0.0032
27,CY2021,2,0.0011
27,CY2022,27,0.9675
27,CY2022,2,0.0147
27,CY2022,1,0.0110
27,CY2022,26,0.0031
27,CY2022,28,0.0025
27,CY2022,42,0.0006
27,CY2022,25,0.0006
27,CY2023,27,0.9603
27,CY2023,1,0.0293
27,CY2023,2,0.0052
27,CY2023,25,0.0021
27,CY2023,26,0.0021
27,CY2023,42,0.0010
27,CY2023-2025,27,0.9606
27,CY2023-2025,1,0.0228
27,CY2023-2025,2,0.0089
27,CY2023-2025,26,0.0034
27,CY2023-2025,28,0.0022
27,CY2023-2025,25,0.0018
27,CY2023-2025,42,0.0003
27,YTD2019-08,27,0.9638
27,YTD2019-08,1,0.0243
27,YTD2019-08,26,0.0055
27,YTD2019-08,2,0.0026
27,YTD2019-08,28,0.0021
27,YTD2019-08,25,0.0013
27,YTD2019-08,42,0.0004
27,YTD2020-08,27,0.9802
27,YTD2020-08,1,0.0113
27,YTD2020-08,2,0.0042
27,YTD2020-08,26,0.0028
27,YTD2020-08,25,0.0014
27,YTD2021-08,27,0.9885
27,YTD2021-08,1,0.0049
27,YTD2021-08,25,0.0033
27,YTD2021-08,28,0.0016
27,YTD2021-08,26,0.0016
27,YTD2022-08,27,0.9684
27,YTD2022-08,2,0.0151
27,YTD2022-08,1,0.0096
27,YTD2022-08,28,0.0027
27,YTD2022-08,26,0.0027
27,YTD2022-08,42,0.0007
27,YTD2022-08,25,0.0007
27,YTD2023-08,27,0.9515
27,YTD2023-08,1,0.0354
27,YTD2023-08,2,0.0066
27,YTD2023-08,25,0.0026
27,YTD2023-08,26,0.0026
27,YTD2023-08,42,0.0013
28,CY2019,28,0.8978
28,CY2019,25,0.0750
28,CY2019,11,0.0263
28,CY2019,37,0.0009
28,CY2019-2025,28,0.8521
28,CY2019-2025,25,0.1102
28,CY2019-2025,11,0.0374
28,CY2019-2025,37,0.0003
28,CY2020,28,0.8818
28,CY2020,25,0.0878
28,CY2020,11,0.0304
28,CY2020-2022,28,0.8379
28,CY2020-2022,25,0.1283
28,CY2020-2022,11,0.0335
28,CY2020-2022,37,0.0003
28,CY2021,28,0.8221
28,CY2021,25,0.1453
28,CY2021,11,0.0314
28,CY2021,37,0.0012
28,CY2022,28,0.8188
28,CY2022,25,0.1444
28,CY2022,11,0.0368
28,CY2023,28,0.8374
28,CY2023,25,0.1137
28,CY2023,11,0.0489
28,CY2023-2025,28,0.8348
28,CY2023-2025,25,0.1169
28,CY2023-2025,11,0.0483
28,YTD2019-08,28,0.8949
28,YTD2019-08,25,0.0792
28,YTD2019-08,11,0.0247
28,YTD2019-08,37,0.0011
28,YTD2020-08,28,0.8770
28,YTD2020-08,25,0.0886
28,YTD2020-08,11,0.0344
28,YTD2021-08,28,0.8179
28,YTD2021-08,25,0.1451
28,YTD2021-08,11,0.0356
28,YTD2021-08,37,0.0014
28,YTD2022-08,28,0.8288
28,YTD2022-08,25,0.1356
28,YTD2022-08,11,0.0356
28,YTD2023-08,28,0.8402
28,YTD2023-08,25,0.1083
28,YTD2023-08,11,0.0515
29,CY2019,29,0.9937
29,CY2019,36,0.0063
29,CY2019-2025,29,0.9835
29,CY2019-2025,36,0.0165
29,CY2020,29,0.9962
29,CY2020,36,0.0038
29,CY2020-2022,29,0.9831
29,CY2020-2022,36,0.0169
29,CY2021,29,0.9827
29,CY2021,36,0.0173
29,CY2022,29,0.9759
29,CY2022,36,0.0241
29,CY2023,29,0.9504
29,CY2023,36,0.0496
29,CY2023-2025,29,0.9730
29,CY2023-2025,36,0.0270
29,YTD2019-08,29,0.9922
29,YTD2019-08,36,0.0078
29,YTD2020-08,29,0.9952
29,YTD2020-08,36,0.0048
29,YTD2021-08,29,0.9853
29,YTD2021-08,36,0.0147
29,YTD2022-08,29,0.9737
29,YTD2022-08,36,0.0263
29,YTD2023-08,29,0.9599
29,YTD2023-08,36,0.0401
30,CY2019,30,0.5643
30,CY2019,45,0.2251
30,CY2019,36,0.1450
30,CY2019,38,0.0607
30,CY2019,31,0.0049
30,CY2019-2025,30,0.5697
30,CY2019-2025,45,0.2323
30,CY2019-2025,36,0.1470
30,CY2019-2025,38,0.0423
30,CY2019-2025,31,0.0087
30,CY2020,30,0.6255
30,CY2020,45,0.2490
30,CY2020,36,0.0772
30,CY2020,38,0.0367
30,CY2020,31,0.0116
30,CY2020-2022,30,0.5861
30,CY2020-2022,45,0.2629
30,CY2020-2022,36,0.1103
30,CY2020-2022,38,0.0337
30,CY2020-2022,31,0.0071
30,CY2021,30,0.5585
30,CY2021,45,0.3024
30,CY2021,36,0.0968
30,CY2021,38,0.0403
30,CY2021,31,0.0020
30,CY2022,30,0.5780
30,CY2022,45,0.2479
30,CY2022,36,0.1391
30,CY2022,38,0.0278
30,CY2022,31,0.0073
30,CY2023,30,0.5429
30,CY2023,45,0.2485
30,CY2023,36,0.1464
30,CY2023,38,0.0429
30,CY2023,31,0.0192
30,CY2023-2025,30,0.5621
30,CY2023-2025,45,0.2165
30,CY2023-2025,36,0.1723
30,CY2023-2025,38,0.0371
30,CY2023-2025,31,0.0121
30,YTD2019-08,30,0.5928
30,YTD2019-08,45,0.2093
30,YTD2019-08,36,0.1377
30,YTD2019-08,38,0.0556
30,YTD2019-08,31,0.0046
30,YTD2020-08,30,0.6173
30,YTD2020-08,45,0.2551
30,YTD2020-08,36,0.0729
30,YTD2020-08,38,0.0433
30,YTD2020-08,31,0.0114
30,YTD2021-08,30,0.5129
30,YTD2021-08,45,0.3410
30,YTD2021-08,36,0.0917
30,YTD2021-08,38,0.0544
30,YTD2022-08,30,0.5710
30,YTD2022-08,45,0.2552
30,YTD2022-08,36,0.1352
30,YTD2022-08,38,0.0303
30,YTD2022-08,31,0.0083
30,YTD2023-08,30,0.5224
30,YTD2023-08,45,0.2621
30,YTD2023-08,36,0.1454
30,YTD2023-08,38,0.0485
30,YTD2023-08,31,0.0215
31,CY2019,31,0.8471
31,CY2019,30,0.0848
31,CY2019,36,0.0629
31,CY2019,35,0.0051
31,CY2019-2025,31,0.8266
31,CY2019-2025,30,0.1045
31,CY2019-2025,36,0.0634
31,CY2019-2025,35,0.0054
31,CY2020,31,0.8795
31,CY2020,30,0.0712
31,CY2020,36,0.0466
31,CY2020,35,0.0026
31,CY2020-2022,31,0.8508
31,CY2020-2022,30,0.0927
31,CY2020-2022,36,0.0528
31,CY2020-2022,35,0.0037
31,CY2021,31,0.8731
31,CY2021,30,0.0772
31,CY2021,36,0.0480
31,CY2021,35,0.0017
31,CY2022,31,0.8080
31,CY2022,30,0.1239
31,CY2022,36,0.0620
31,CY2022,35,0.0061
31,CY2023,31,0.8122
31,CY2023,30,0.1099
31,CY2023,36,0.0672
31,CY2023,35,0.0107
31,CY2023-2025,31,0.7875
31,CY2023-2025,30,0.1306
31,CY2023-2025,36,0.0745
31,CY2023-2025,35,0.0074
31,YTD2019-08,31,0.8345
31,YTD2019-08,30,0.0951
31,YTD2019-08,36,0.0637
31,YTD2019-08,35,0.0068
31,YTD2020-08,31,0.8850
31,YTD2020-08,30,0.0699
31,YTD2020-08,36,0.0437
31,YTD2020-08,35,0.0015
31,YTD2021-08,31,0.8692
31,YTD2021-08,30,0.0821
31,YTD2021-08,36,0.0462
31,YTD2021-08,35,0.0026
31,YTD2022-08,31,0.8111
31,YTD2022-08,30,0.1153
31,YTD2022-08,36,0.0667
31,YTD2022-08,35,0.0069
31,YTD2023-08,31,0.7977
31,YTD2023-08,30,0.1252
31,YTD2023-08,36,0.0636
31,YTD2023-08,35,0.0135
32,CY2019,32,0.7555
32,CY2019,2,0.0913
32,CY2019,47,0.0687
32,CY2019,1,0.0407
32,CY2019,43,0.0371
32,CY2019,44,0.0068
32,CY2019-2025,32,0.7439
32,CY2019-2025,2,0.1085
32,CY2019-2025,47,0.0679
32,CY2019-2025,43,0.0361
32,CY2019-2025,1,0.0357
32,CY2019-2025,44,0.0079
32,CY2020,32,0.7751
32,CY2020,2,0.0867
32,CY2020,47,0.0745
32,CY2020,43,0.0352
32,CY2020,1,0.0244
32,CY2020,44,0.0041
32,CY2020-2022,32,0.7110
32,CY2020-2022,2,0.1340
32,CY2020-2022,47,0.0749
32,CY2020-2022,43,0.0458
32,CY2020-2022,1,0.0258
32,CY2020-2022,44,0.0086
32,CY2021,32,0.7586
32,CY2021,2,0.0962
32,CY2021,47,0.0835
32,CY2021,43,0.0363
32,CY2021,44,0.0127
32,CY2021,1,0.0127
32,CY2022,32,0.6620
32,CY2022,2,0.1710
32,CY2022,47,0.0719
32,CY2022,43,0.0546
32,CY2022,1,0.0313
32,CY2022,44,0.0093
32,CY2023,32,0.7683
32,CY2023,2,0.1093
32,CY2023,47,0.0536
32,CY2023,1,0.0339
32,CY2023,43,0.0273
32,CY2023,44,0.0077
32,CY2023-2025,32,0.7641
32,CY2023-2025,2,0.0985
32,CY2023-2025,47,0.0615
32,CY2023-2025,1,0.0407
32,CY2023-2025,43,0.0272
32,CY2023-2025,44,0.0080
32,YTD2019-08,32,0.7444
32,YTD2019-08,2,0.1001
32,YTD2019-08,47,0.0750
32,YTD2019-08,1,0.0419
32,YTD2019-08,43,0.0310
32,YTD2019-08,44,0.0076
32,YTD2020-08,32,0.7834
32,YTD2020-08,2,0.0880
32,YTD2020-08,47,0.0592
32,YTD2020-08,43,0.0355
32,YTD2020-08,1,0.0288
32,YTD2020-08,44,0.0051
32,YTD2021-08,32,0.7579
32,YTD2021-08,2,0.0969
32,YTD2021-08,47,0.0896
32,YTD2021-08,43,0.0266
32,YTD2021-08,44,0.0169
32,YTD2021-08,1,0.0121
32,YTD2022-08,32,0.6643
32,YTD2022-08,2,0.1682
32,YTD2022-08,47,0.0719
32,YTD2022-08,43,0.0561
32,YTD2022-08,1,0.0295
32,YTD2022-08,44,0.0101
32,YTD2023-08,32,0.7729
32,YTD2023-08,2,0.0996
32,YTD2023-08,47,0.0544
32,YTD2023-08,1,0.0345
32,YTD2023-08,43,0.0292
32,YTD2023-08,44,0.0093
33,CY2019,33,0.6612
33,CY2019,35,0.3388
33,CY2019-2025,33,0.6577
33,CY2019-2025,35,0.3423
33,CY2020,33,0.6697
33,CY2020,35,0.3303
33,CY2020-2022,33,0.6310
33,CY2020-2022,35,0.3690
33,CY2021,33,0.6476
33,CY2021,35,0.3524
33,CY2022,33,0.5961
33,CY2022,35,0.4039
33,CY2023,33,0.6000
33,CY2023,35,0.4000
33,CY2023-2025,33,0.6806
33,CY2023-2025,35,0.3194
33,YTD2019-08,33,0.6525
33,YTD2019-08,35,0.3475
33,YTD2020-08,33,0.6577
33,YTD2020-08,35,0.3423
33,YTD2021-08,33,0.6795
33,YTD2021-08,35,0.3205
33,YTD2022-08,33,0.6029
33,YTD2022-08,35,0.3971
33,YTD2023-08,33,0.6160
33,YTD2023-08,35,0.3840
34,CY2019,42,0.3899
34,CY2019,25,0.2916
34,CY2019,28,0.1743
34,CY2019,27,0.0827
34,CY2019,4,0.0268
34,CY2019,11,0.0246
34,CY2019,3,0.0101
34,CY2019-2025,42,0.4079
34,CY2019-2025,25,0.2868
34,CY2019-2025,28,0.1679
34,CY2019-2025,27,0.0702
34,CY2019-2025,4,0.0325
34,CY2019-2025,11,0.0179
34,CY2019-2025,3,0.0169
34,CY2020,25,0.3111
34,CY2020,42,0.3022
34,CY2020,28,0.2222
34,CY2020,27,0.0978
34,CY2020,11,0.0356
34,CY2020,4,0.0178
34,CY2020,3,0.0133
34,CY2020-2022,42,0.3592
34,CY2020-2022,25,0.2971
34,CY2020-2022,28,0.1680
34,CY2020-2022,27,0.0816
34,CY2020-2022,4,0.0544
34,CY2020-2022,11,0.0204
34,CY2020-2022,3,0.0194
34,CY2021,42,0.3991
34,CY2021,25,0.2833
34,CY2021,28,0.1416
34,CY2021,4,0.0773
34,CY2021,27,0.0515
34,CY2021,3,0.0258
34,CY2021,11,0.0215
34,CY2022,42,0.3654
34,CY2022,25,0.2972
34,CY2022,28,0.1573
34,CY2022,27,0.0874
34,CY2022,4,0.0594
34,CY2022,3,0.0192
34,CY2022,11,0.0140
34,CY2023,42,0.4772
34,CY2023,25,0.2759
34,CY2023,28,0.1473
34,CY2023,27,0.0560
34,CY2023,3,0.0207
34,CY2023,4,0.0166
34,CY2023,11,0.0062
34,CY2023-2025,42,0.4653
34,CY2023-2025,25,0.2738
34,CY2023-2025,28,0.1629
34,CY2023-2025,27,0.0503
34,CY2023-2025,3,0.0199
34,CY2023-2025,4,0.0173
34,CY2023-2025,11,0.0104
34,YTD2019-08,42,0.3809
34,YTD2019-08,25,0.2880
34,YTD2019-08,28,0.1723
34,YTD2019-08,27,0.0888
34,YTD2019-08,4,0.0323
34,YTD2019-08,11,0.0269
34,YTD2019-08,3,0.0108
34,YTD2020-08,25,0.3642
34,YTD2020-08,42,0.2601
34,YTD2020-08,28,0.2081
34,YTD2020-08,27,0.1098
34,YTD2020-08,11,0.0289
34,YTD2020-08,3,0.0173
34,YTD2020-08,4,0.0116
34,YTD2021-08,42,0.3652
34,YTD2021-08,25,0.2809
34,YTD2021-08,28,0.1685
34,YTD2021-08,4,0.0674
34,YTD2021-08,27,0.0618
34,YTD2021-08,11,0.0281
34,YTD2021-08,3,0.0281
34,YTD2022-08,42,0.3420
34,YTD2022-08,25,0.3140
34,YTD2022-08,28,0.1640
34,YTD2022-08,27,0.1000
34,YTD2022-08,4,0.0520
34,YTD2022-08,11,0.0140
34,YTD2022-08,3,0.0140
34,YTD2023-08,42,0.4258
34,YTD2023-08,25,0.2967
