ward2023,period,ward2015,share_of_rpt_n
5,CY2019,8,0.0009
5,CY2019,6,0.0009
5,CY2019-2025,5,0.9473
5,CY2019-2025,20,0.0312
5,CY2019-2025,4,0.0204
5,CY2019-2025,8,0.0006
5,CY2019-2025,6,0.0004
5,CY2020,5,0.9519
5,CY2020,20,0.0256
5,CY2020,4,0.0192
5,CY2020,6,0.0032
5,CY2020-2022,5,0.9474
5,CY2020-2022,20,0.0302
5,CY2020-2022,4,0.0218
5,CY2020-2022,6,0.0006
5,CY2021,5,0.9661
5,CY2021,20,0.0169
5,CY2021,4,0.0169
5,CY2022,5,0.9415
5,CY2022,20,0.0347
5,CY2022,4,0.0237
5,CY2023,5,0.9395
5,CY2023,20,0.0408
5,CY2023,4,0.0180
5,CY2023,8,0.0016
5,CY2023-2025,5,0.9381
5,CY2023-2025,20,0.0354
5,CY2023-2025,4,0.0254
5,CY2023-2025,8,0.0010
5,YTD2019-08,5,0.9639
5,YTD2019-08,20,0.0233
5,YTD2019-08,4,0.0106
5,YTD2019-08,8,0.0011
5,YTD2019-08,6,0.0011
5,YTD2020-08,5,0.9512
5,YTD2020-08,20,0.0285
5,YTD2020-08,4,0.0163
5,YTD2020-08,6,0.0041
5,YTD2021-08,5,0.9689
5,YTD2021-08,4,0.0178
5,YTD2021-08,20,0.0133
5,YTD2022-08,5,0.9443
5,YTD2022-08,20,0.0338
5,YTD2022-08,4,0.0219
5,YTD2023-08,5,0.9403
5,YTD2023-08,20,0.0412
5,YTD2023-08,4,0.0185
6,CY2019,6,0.7149
6,CY2019,9,0.1203
6,CY2019,21,0.0913
6,CY2019,20,0.0490
6,CY2019,8,0.0223
6,CY2019,17,0.0022
6,CY2019-2025,6,0.7070
6,CY2019-2025,9,0.0965
6,CY2019-2025,21,0.0948
6,CY2019-2025,20,0.0667
6,CY2019-2025,8,0.0282
6,CY2019-2025,17,0.0068
6,CY2020,6,0.7247
6,CY2020,9,0.0994
6,CY2020,21,0.0822
6,CY2020,20,0.0746
6,CY2020,8,0.0134
6,CY2020,17,0.0057
6,CY2020-2022,6,0.7210
6,CY2020-2022,9,0.1018
6,CY2020-2022,20,0.0732
6,CY2020-2022,21,0.0688
6,CY2020-2022,8,0.0297
6,CY2020-2022,17,0.0055
6,CY2021,6,0.7456
6,CY2021,9,0.0900
6,CY2021,20,0.0705
6,CY2021,21,0.0489
6,CY2021,8,0.0391
6,CY2021,17,0.0059
6,CY2022,6,0.7024
6,CY2022,9,0.1111
6,CY2022,20,0.0741
6,CY2022,21,0.0728
6,CY2022,8,0.0345
6,CY2022,17,0.0051
6,CY2023,6,0.6905
6,CY2023,9,0.0933
6,CY2023,20,0.0853
6,CY2023,21,0.0794
6,CY2023,8,0.0357
6,CY2023,17,0.0159
6,CY2023-2025,6,0.6830
6,CY2023-2025,21,0.1291
6,CY2023-2025,20,0.0748
6,CY2023-2025,9,0.0688
6,CY2023-2025,8,0.0318
6,CY2023-2025,17,0.0126
6,YTD2019-08,6,0.6915
6,YTD2019-08,9,0.1214
6,YTD2019-08,21,0.1104
6,YTD2019-08,20,0.0498
6,YTD2019-08,8,0.0239
6,YTD2019-08,17,0.0030
6,YTD2020-08,6,0.7083
6,YTD2020-08,9,0.1118
6,YTD2020-08,21,0.0921
6,YTD2020-08,20,0.0702
6,YTD2020-08,8,0.0132
6,YTD2020-08,17,0.0044
6,YTD2021-08,6,0.7190
6,YTD2021-08,9,0.1074
6,YTD2021-08,20,0.0771
6,YTD2021-08,21,0.0496
6,YTD2021-08,8,0.0413
6,YTD2021-08,17,0.0055
6,YTD2022-08,6,0.7020
6,YTD2022-08,9,0.1163
6,YTD2022-08,21,0.0741
6,YTD2022-08,20,0.0698
6,YTD2022-08,8,0.0320
6,YTD2022-08,17,0.0058
6,YTD2023-08,6,0.7285
6,YTD2023-08,21,0.0860
6,YTD2023-08,9,0.0860
6,YTD2023-08,20,0.0457
6,YTD2023-08,8,0.0376
6,YTD2023-08,17,0.0161
7,CY2019,7,0.8252
7,CY2019,10,0.1282
7,CY2019,8,0.0396
7,CY2019,5,0.0070
7,CY2019-2025,7,0.8515
7,CY2019-2025,10,0.0928
7,CY2019-2025,8,0.0477
7,CY2019-2025,5,0.0080
7,CY2020,7,0.7625
7,CY2020,10,0.1675
7,CY2020,8,0.0625
7,CY2020,5,0.0075
7,CY2020-2022,7,0.8528
7,CY2020-2022,10,0.0955
7,CY2020-2022,8,0.0458
7,CY2020-2022,5,0.0059
7,CY2021,7,0.8199
7,CY2021,10,0.1210
7,CY2021,8,0.0591
7,CY2022,7,0.9168
7,CY2022,10,0.0449
7,CY2022,8,0.0304
7,CY2022,5,0.0079
7,CY2023,7,0.8643
7,CY2023,10,0.0693
7,CY2023,8,0.0471
7,CY2023,5,0.0194
7,CY2023-2025,7,0.8663
7,CY2023-2025,10,0.0679
7,CY2023-2025,8,0.0549
7,CY2023-2025,5,0.0108
7,YTD2019-08,7,0.8457
7,YTD2019-08,10,0.1065
7,YTD2019-08,8,0.0432
7,YTD2019-08,5,0.0046
7,YTD2020-08,7,0.7611
7,YTD2020-08,10,0.1694
7,YTD2020-08,8,0.0639
